index,Avg Temp,Min Temp,Max Temp,Precip
2015-01-01,2.0,-2.0,5.0,0.0
2015-01-02,5.67,2.0,9.11,0.0
2015-01-03,2.56,1.0,5.0,7.0
2015-01-04,2.56,-1.0,5.5,0.0
2015-01-05,0.72,-1.39,4.5,0.0
2015-01-06,0.28,-3.0,4.0,0.0
2015-01-07,3.44,1.0,5.28,0.0
2015-01-08,6.5,4.5,9.39,19.0
2015-01-09,9.56,5.39,14.0,1.0
2015-01-10,10.17,4.0,13.39,1.0
2015-01-11,5.0,3.0,6.22,0.0
2015-01-12,8.06,5.78,10.0,0.0
2015-01-13,8.72,5.61,10.28,5.0
2015-01-14,4.17,3.0,7.0,3.0
2015-01-15,8.17,6.0,10.0,1.0
2015-01-16,5.61,3.0,8.0,0.0
2015-01-17,2.17,-0.39,4.28,0.0
2015-01-18,3.11,1.0,5.0,1.0
2015-01-19,0.83,-1.0,2.0,2.0
2015-01-20,0.56,-1.0,3.0,0.0
2015-01-21,-0.44,-3.0,2.0,0.0
2015-01-22,-1.56,-3.0,-0.61,0.0
2015-01-23,-1.5,-3.0,0.0,0.0
2015-01-24,1.56,-1.11,5.5,4.0
2015-01-25,2.61,0.0,4.39,0.0
2015-01-26,5.89,3.61,8.39,2.0
2015-01-27,3.72,1.61,6.39,0.0
2015-01-28,4.89,2.0,7.39,0.0
2015-01-29,2.72,0.0,5.0,0.0
2015-01-30,1.39,0.0,3.11,1.0
2015-01-31,1.22,-0.11,4.0,1.0
2015-02-01,2.28,-0.28,5.0,6.0
2015-02-02,1.61,0.0,3.61,2.0
2015-02-03,0.67,-2.0,3.61,0.0
2015-02-04,0.61,-2.39,5.0,0.0
2015-02-05,-1.44,-3.11,1.0,1.0
2015-02-06,-0.83,-3.0,2.0,0.0
2015-02-07,0.44,-4.22,4.11,0.0
2015-02-08,3.94,1.28,6.0,0.0
2015-02-09,3.67,1.61,5.0,0.0
2015-02-10,4.61,3.72,6.0,0.0
2015-02-11,3.17,-2.0,5.28,0.0
2015-02-12,1.22,-3.0,7.61,0.0
2015-02-13,5.17,-1.11,11.0,0.0
2015-02-14,7.0,4.89,10.22,2.0
2015-02-15,5.0,0.89,10.0,0.0
2015-02-16,2.33,-2.22,6.22,0.0
2015-02-17,4.11,-1.0,7.28,0.0
2015-02-18,0.78,-2.22,4.22,0.0
2015-02-19,2.94,-0.39,5.61,0.0
2015-02-20,5.33,3.28,6.61,7.0
2015-02-21,3.33,1.0,6.28,1.0
2015-02-22,2.56,-0.5,6.61,0.0
